Modell;Ausstattungslinie;Motor;Kategorie;Kraftstoff;l/100km;kWh/100km
Polo;R-Line;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.6;0.0
Polo;GTI;2.0 TSI | 152 kW | 7-Gang-DSG;Verbrenner;Benzin;6.7;0.0
Polo;Energy;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.6;0.0
T-Cross;Life;1.0 TSI | 70 kW | 5-Gang;Verbrenner;Benzin;5.5;0.0
T-Cross;Life;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.6;0.0
T-Cross;Life;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0
T-Cross;Life;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.0;0.0
T-Cross;Style;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.7;0.0
T-Cross;Style;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0
T-Cross;Style;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.1;0.0
T-Cross;R-Line;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.7;0.0
T-Cross;R-Line;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0
T-Cross;R-Line;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.1;0.0
T-Cross;Energy;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.5;0.0
T-Cross;Energy;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.8;0.0
T-Cross;Energy;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0
Taigo;Life;1.0 TSI | 70 kW | 5-Gang;Verbrenner;Benzin;5.4;0.0
Taigo;Life;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.4;0.0
Taigo;Life;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.6;0.0
Taigo;Style;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.6;0.0
Taigo;Style;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0
Taigo;Style;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0
Taigo;R-Line;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.6;0.0
Taigo;R-Line;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0
Taigo;R-Line;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0
Taigo;Energy;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.4;0.0
Taigo;Energy;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.5;0.0
Taigo;Energy;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0
T-Roc;Life;1.5 eTSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.5;0.0
T-Roc;Life;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.5;0.0
T-Roc;Style;1.5 eTSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0
T-Roc;Style;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0
T-Roc;R-Line;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0
T-Roc Cabriolet;Style;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;6.0;0.0
T-Roc Cabriolet;Style;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.3;0.0
T-Roc Cabriolet;Style;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.2;0.0
T-Roc Cabriolet;R-Line;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.2;0.0
T-Roc Cabriolet;R-Line;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.2;0.0
T-Roc Cabriolet;Energy;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;6.0;0.0
T-Roc Cabriolet;Energy;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.3;0.0
T-Roc Cabriolet;Energy;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.2;0.0
Golf;Life;1.5 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.4;0.0
Golf;Life;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;5.5;0.0
Golf;Life;2.0 TDI | 85 kW | 6-Gang;Verbrenner;Diesel;4.3;0.0
Golf;Life;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;4.6;0.0
Golf;Life;1.5 eTSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.2;0.0
Golf;Life;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.3;0.0
Golf;Style;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;5.5;0.0
Golf;Style;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.0;0.0
Golf;Style;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;4.6;0.0
Golf;Style;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.2;0.0
Golf;R-Line;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;5.5;0.0
Golf;R-Line;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.0;0.0
Golf;R-Line;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;4.6;0.0
Golf;R-Line;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.3;0.0
Golf;GTE;1.5 eHybrid | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.3;15.9
Golf;GTI;2.0 TSI | 195 kW | 7-Gang-DSG;Verbrenner;Benzin;7.1;0.0
Golf;GTI Clubsport;2.0 TSI | 221 kW | 7-Gang-DSG;Verbrenner;Benzin;7.3;0.0
Golf;R;2.0 TSI | 4MOTION | 245 kW | 7-Gang-DSG;Verbrenner;Benzin;8.2;0.0
Golf;Energy;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;5.5;0.0
Golf;Energy;2.0 TDI | 85 kW | 6-Gang;Verbrenner;Diesel;4.3;0.0
Golf;Energy;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;4.5;0.0
Golf;Energy;1.5 eTSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.1;0.0
Golf;Energy;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.1;0.0
Golf;Energy;1.5 eHybrid | 110 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.3;14.7
Golf Variant;Style;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;5.5;0.0
Golf Variant;Style;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.0;0.0
Golf Variant;Style;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;4.6;0.0
Golf Variant;Style;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.2;0.0
Golf Variant;R-Line;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;5.7;0.0
Golf Variant;R-Line;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.0;0.0
Golf Variant;R-Line;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;4.8;0.0
Golf Variant;R-Line;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.4;0.0
Golf Variant;R;2.0 TSI | 4MOTION | 245 kW | 7-Gang-DSG;Verbrenner;Benzin;8.2;0.0
Golf Variant;Energy;1.5 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.5;0.0
Golf Variant;Energy;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;5.4;0.0
Golf Variant;Energy;2.0 TDI | 85 kW | 6-Gang;Verbrenner;Diesel;4.3;0.0
Golf Variant;Energy;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;4.7;0.0
Golf Variant;Energy;1.5 eTSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.0;0.0
Golf Variant;Energy;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.2;0.0
Touran;Comfortline;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.6;0.0
Touran;Comfortline;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.7;0.0
Touran;Comfortline;2.0 TDI | 90 kW | 6-Gang;Verbrenner;Diesel;5.5;0.0
Touran;Comfortline;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.5;0.0
Touran;Highline;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.7;0.0
Touran;Highline;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.7;0.0
Touran;Highline;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.6;0.0
Touran;Energy;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.6;0.0
Touran;Energy;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.7;0.0
Touran;Energy;2.0 TDI | 90 kW | 6-Gang;Verbrenner;Diesel;5.4;0.0
Touran;Energy;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.4;0.0
Tiguan;Life;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.6;0.0
Tiguan;Life;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.3;0.0
Tiguan;Life;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.2;0.0
Tiguan;Life;1.5 eTSI | 96 kW | 7-Gang-DSG;Verbrenner;Benzin;6.0;0.0
Tiguan;Life;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.0;0.0
Tiguan;Elegance;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.6;0.0
Tiguan;Elegance;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.6;0.0
Tiguan;Elegance;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.4;0.0
Tiguan;Elegance;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.1;0.0
Tiguan;Elegance;1.5 eHybrid | 110 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.4;17.9
Tiguan;Elegance;1.5 eHybrid | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.4;17.9
Tiguan;R-Line;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.8;0.0
Tiguan;R-Line;2.0 TSI | 4MOTION | 195 kW | 7-Gang-DSG;Verbrenner;Benzin;8.4;0.0
Tiguan;R-Line;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.6;0.0
Tiguan;R-Line;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.4;0.0
Tiguan;R-Line;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.1;0.0
Tiguan;R-Line;1.5 eHybrid | 110 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.4;17.8
Tiguan;R-Line;1.5 eHybrid | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.4;17.6
Tiguan;Energy;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.5;0.0
Tiguan;Energy;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.5;0.0
Tiguan;Energy;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.2;0.0
Tiguan;Energy;1.5 eTSI | 96 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0
Tiguan;Energy;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.1;0.0
Tiguan;Energy;1.5 eHybrid | 110 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.4;17.0
Tayron;Life;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.6;0.0
Tayron;Life;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.4;0.0
Tayron;Life;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.3;0.0
Tayron;Life;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.1;0.0
Tayron;Elegance;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.7;0.0
Tayron;Elegance;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.7;0.0
Tayron;Elegance;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.5;0.0
Tayron;Elegance;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.1;0.0
Tayron;R-Line;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.8;0.0
Tayron;R-Line;2.0 TSI | 4MOTION | 195 kW | 7-Gang-DSG;Verbrenner;Benzin;8.5;0.0
Tayron;R-Line;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.7;0.0
Tayron;R-Line;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.5;0.0
Passat;Business;2.0 TDI | 90 kW | 7-Gang-DSG;Verbrenner;Diesel;4.9;0.0
Passat;Business;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.0;0.0
Passat;Business;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.4;0.0
Passat;Business;1.5 eHybrid | 110 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.3;16.2
Passat;Business;1.5 eHybrid | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.3;16.3
Passat;Elegance;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.0;0.0
Passat;Elegance;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;5.7;0.0
Passat;Elegance;1.5 eHybrid | 110 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.3;16.2
Passat;Elegance;1.5 eHybrid | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.3;16.3
Passat;R-Line;2.0 TSI | 4MOTION | 195 kW | 7-Gang-DSG;Verbrenner;Benzin;8.0;0.0
Passat;R-Line;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.2;0.0
Passat;R-Line;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;5.9;0.0
Passat;R-Line;1.5 eHybrid | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;0.4;16.8
Touareg;Elegance;3.0 V6 TDI | 4MOTION | 170 kW | 8-Gang-Automatik;Verbrenner;Diesel;8.3;0.0
Touareg;Elegance;3.0 V6 TDI | 4MOTION | 210 kW | 8-Gang-Automatik;Verbrenner;Diesel;8.2;0.0
Touareg;R-Line;3.0 V6 TDI | 4MOTION | 170 kW | 8-Gang-Automatik;Verbrenner;Diesel;8.3;0.0
Touareg;R-Line;3.0 V6 TDI | 4MOTION | 210 kW | 8-Gang-Automatik;Verbrenner;Diesel;8.3;0.0
ID.4;Pro;77 kWh | 210 kW | 1-Gang-DSG;Elektro/Hybrid;Elektro;0.0;16.9
ID.4;Pro;77 kWh | 4MOTION | 210 kW | 1-Gang-DSG;Elektro/Hybrid;Elektro;0.0;16.7
ID.4;GTX;79 kWh | 4MOTION | 250 kW | 1-Gang-DSG;Elektro/Hybrid;Elektro;0.0;17.2
ID.5;Pro;77 kWh | 210 kW | 1-Gang-DSG;Elektro/Hybrid;Elektro;0.0;16.8
